web-scraper-order,web-scraper-start-url,title,address,price,livingSpace,rooms,tag1,tag2,linkRef
1609154048-1359,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=33,null,"Grunewald, Berlin",559.00 €,114 m²,4 Zi.4,null,null,/expose/124100539
1609153967-1103,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=45,null,"Donaustr. 10, Neukölln (Ortsteil), Berlin",1.800.772 €,"504,02 m²",13 Zi.13,Balkon/Terrasse,null,/expose/125150359
1609153796-637,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=69,null,"Zepernicker Str. 2, Buch, Berlin",295.00 €,"83,35 m²",3 Zi.3,Provisionsfrei*,Balkon/Terrasse,/expose/125249151
1609154135-1640,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=19,null,"Behaimstr. 52-54, Weißensee, Berlin",250.00 €,67 m²,2 Zi.2,Einbauküche,Aufzug,/expose/124724594
1609154256-1974,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=2,"Familienfreundliche 3,5-Zimmer-Altbauwohnung mit Blick auf den Volkspark Friedrichshain","Landsberger Allee 16, Friedrichshain, Berlin",399.00 €,"98,13 m²","3,5 Zi.3,5",Online-Besichtigung,Keller,/expose/124551939
1609154150-1675,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=17,null,"Haewererweg 10, Buckow, Berlin",186.76 €,54 m²,2 Zi.2,Provisionsfrei*,Balkon/Terrasse,/expose/124768985
1609153613-74,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=97,null,"Charlottenburg, Berlin",290.00 €,58 m²,2 Zi.2,Online-Besichtigung,Einbauküche,/expose/122058257
1609153869-838,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=59,null,"Gesundbrunnen, Berlin",179.30 €,56 m²,2 Zi.2,Keller,null,/expose/124916265
1609153606-60,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=98,null,"Bouchéstraße 24, Alt-Treptow, Berlin",250.48 €,"72,1 m²",3 Zi.3,Online-Besichtigung,Balkon/Terrasse,/expose/120596752
1609153993-1192,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=41,null,"Fritz-Werner-Str. 28, Mariendorf, Berlin",210.00 €,54 m²,2 Zi.2,Balkon/Terrasse,Einbauküche,/expose/125032372
1609154092-1498,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=26,null,"Schubartstr. 45, Borsigwalde, Berlin",444.50 €,105 m²,3 Zi.3,Online-Besichtigung,Garten,/expose/124913463
1609153830-727,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=64,null,"Wilhelmstadt, Berlin",225.00 €,59 m²,2 Zi.2,Balkon/Terrasse,Einbauküche,/expose/125105692
1609153809-677,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=67,null,"Charlottenburg, Berlin",2.550.000 €,230 m²,6 Zi.6,Balkon/Terrasse,Einbauküche,/expose/116918573
1609153946-1046,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=48,null,"Müllerstr. 29h, Lichterfelde, Berlin",259.00 €,74 m²,2 Zi.2,Online-Besichtigung,Balkon/Terrasse,/expose/124258726
