web-scraper-order,web-scraper-start-url,title,address,price,livingSpace,rooms,tag1,tag2,linkRef
"1609406359-2407","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=80","null","Wichertstraße 43, Prenzlauer Berg, Berlin","301.000 €","54,47 m²","2 Zi.2","Provisionsfrei*","Keller","/expose/123942253"
"1609406542-2865","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=57","null","Althoffstraße 3, Steglitz, Berlin","649.000 €","133 m²","4,5 Zi.4,5","Balkon/Terrasse","Keller","/expose/115441800"
"1609406229-2061","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=97","null","Waldowstr. 26b, Niederschönhausen, Berlin","358.200 €","67,81 m²","3 Zi.3","Provisionsfrei*","Balkon/Terrasse","/expose/125483826"
"1609406900-3852","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=8","NEUALTBAUFLAIR MIT MODERNEM GRUNDRISS - STILVOLL & LIEBEVOLL AUSGESTATTET - HOCHWERTIGE EINBAUKÜCHE","Prenzlauer Berg, Berlin","926.950 €","112 m²","4 Zi.4","Online-Besichtigung","Einbauküche","/expose/124969591"
"1609406307-2263","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=87","null","Klixstraße 3, Schöneberg, Berlin","595.000 €","121 m²","5 Zi.5","Provisionsfrei*","Balkon/Terrasse","/expose/116889464"
"1609406945-3971","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=2","NEUENTZÜCKENDE UND RUHIGE 1 ZIMMER WOHNUNG IM GRÄFEKIEZ | PROVISIONSFREI!","Urbanstraße 36b, Kreuzberg, Berlin","199.000 €","30,05 m²","1 Zi.1","Online-Besichtigung","Provisionsfrei*","/expose/125357150"
"1609406515-2794","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=61","null","Schönhauser Straße 18 A, Steglitz, Berlin","389.000 €","85,95 m²","3 Zi.3","Balkon/Terrasse","Keller","/expose/110061934"
"1609406307-2271","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=87","null","Corinthstraße 28, Friedrichshain, Berlin","189.000 €","41,06 m²","2 Zi.2","Aufzug","null","/expose/116796253"
"1609406791-3595","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=21","null","Straßmannstr. 8, Friedrichshain, Berlin","198.000 €","38,44 m²","2 Zi.2","Balkon/Terrasse","Einbauküche","/expose/124119608"
"1609406673-3256","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=38","null","Manteuffelstraße 51, Kreuzberg, Berlin","325.000 €","75,36 m²","3 Zi.3","Keller","null","/expose/120479418"
"1609406555-2912","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=55","null","Landsberger Allee 53/Virchowstraße 1, Friedrichshain, Berlin","1.034.345,31 €","163,72 m²","5 Zi.5","Online-Besichtigung","null","/expose/116676923"
"1609406738-3454","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=28","null","Charlottenburg, Berlin","2.100.000 €","278,1 m²","4 Zi.4","Online-Besichtigung","Balkon/Terrasse","/expose/118490744"
"1609406712-3362","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=32","null","Grunewald, Berlin","925.000 €","96 m²","2 Zi.2","Online-Besichtigung","Einbauküche","/expose/116852959"
"1609406252-2121","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=94","NEUNeubau Parkstraße","Französisch Buchholz, Berlin","343.500 - 830.500 €","55,00 - 142,00 m²","2022","Online-Besichtigung","null","https://www.immobilienscout24.de/neubau/bsk-immobilien-gmbh/neubau-parkstrasse/96804.html"
"1609406384-2500","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=76","null","Tempelherrenstraße 8a, Kreuzberg, Berlin","195.000 €","43 m²","1 Zi.1","null","null","/expose/124311381"
"1609406686-3299","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=36","null","Immanuelkirchstraße 33, Prenzlauer Berg, Berlin","319.000 €","44,15 m²","1 Zi.1","Provisionsfrei*","Balkon/Terrasse","/expose/124880564"
"1609406522-2813","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=60","null","Rheingaustraße 19, Friedenau, Berlin","459.000 €","84,7 m²","3 Zi.3","Balkon/Terrasse","Keller","/expose/112233807"
"1609406625-3112","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=45","null","Brandenburgische Str. 2A, Steglitz, Berlin","909.750 €","157,35 m²","4 Zi.4","Balkon/Terrasse","Keller","/expose/124516333"
"1609406914-3881","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=6","Ruhig, verkehrsgünstig und großzügig geschnitten – Investieren Sie in die vermietete Wohnimmobilie!","Erasmusstraße 2, Moabit, Berlin","149.200 €","31,9 m²","1 Zi.1","Provisionsfrei*","Keller","/expose/124671078"
"1609406535-2846","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=58","null","Fregestraße 9, Friedenau, Berlin","269.000 €","54,5 m²","2 Zi.2","Balkon/Terrasse","Keller","/expose/114689755"
"1609406199-2008","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=100","null","Swinemünder Str. 5, Mitte (Ortsteil), Berlin","580.000 €","69,69 m²","3 Zi.3","Balkon/Terrasse","Einbauküche","/expose/124998275"
"1609406625-3106","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=45","null","Pettenkoferstraße 2b, Friedrichshain, Berlin","166.000 €","38 m²","1 Zi.1","Provisionsfrei*","Keller","/expose/124531842"
"1609406535-2858","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=58","null","Kniephofstraße 52, Steglitz, Berlin","469.000 €","87,69 m²","3,5 Zi.3,5","Balkon/Terrasse","Keller","/expose/114304559"
"1609406359-2420","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=80","null","Baerwaldstr. 63, Kreuzberg, Berlin","367.500 €","104 m²","4 Zi.4","Provisionsfrei*","Balkon/Terrasse","/expose/123938525"
"1609406744-3465","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=27","Johannither Straße","Johanniterstraße 5, Kreuzberg, Berlin","459 - 850 €","55,00 - 105,00 m²","Ende 2022","null","null","https://www.immobilienscout24.de/neubau/accentro-gmbh/johannither-strasse/94373.html"
"1609406274-2188","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=91","null","Stendaler Straße 10, Moabit, Berlin","304.900 €","64,88 m²","2 Zi.2","Provisionsfrei*","Keller","/expose/113556114"
"1609406535-2855","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=58","null","Kavalierstraße 19 B, Pankow (Ortsteil), Berlin","659.000 €","148,47 m²","5 Zi.5","Balkon/Terrasse","Keller","/expose/114398286"
"1609406712-3361","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=32","null","Wilmersdorf, Berlin","609.000 €","94,02 m²","3 Zi.3","Online-Besichtigung","null","/expose/117078499"
